_sex_f,_charge_o,_charge_m,_charge_f,_jaildays,_race_o2,_race_w,_race_h,_race_b,_sex_m,_bookings,pop2010_18over,pop2010,name,slug,_cost
23,0,55,60,3608,7,18,83,7,92,115,18192,24064,Glassell Park,glassell-park,477949.96
139,4,459,422,16929,87,151,606,41,746,885,12803,16522,Artesia,artesia,2241383.94
95,3,263,109,3031,8,324,29,14,280,375,6545,8179,Malibu,malibu,401566.7
30,2,102,78,3499,1,20,156,5,152,182,16704,23645,San Fernando,san-fernando,463520.54
257,13,639,625,24406,59,143,698,377,1020,1277,28861,40137,Harbor Gateway,harbor-gateway,3231189.2
71,7,198,173,9532,8,33,255,82,307,378,32598,44150,Pico-Union,pico-union,1262169.08
1238,96,3184,2468,127866,35,270,5365,78,4510,5748,47131,64234,Pico Rivera,pico-rivera,16927224
23,0,66,50,2550,4,4,103,5,93,116,44299,56668,Arleta,arleta,337891.92
53,5,108,124,5388,20,145,55,17,184,237,21522,26812,Tujunga,tujunga,713586.36
13,0,30,11,665,5,28,8,0,28,41,8265,10347,Beverly Crest,beverly-crest,88355.62
87,3,162,152,6098,4,254,54,5,230,317,4804,6128,Acton,acton,807576.16
236,13,635,907,29324,24,78,1354,99,1319,1555,15073,22532,Lennox,lennox,3882234.04
146,14,288,290,9343,114,30,438,10,446,592,49661,60678,Monterey Park,monterey-park,1237149.26
35,0,52,53,1563,12,62,16,15,70,105,29311,34695,Studio City,studio-city,207232.86
12,0,55,39,1114,2,56,9,27,82,94,10379,12480,Fairfax,fairfax,147794.24
2,1,20,15,693,1,15,8,12,34,36,667,746,Veterans Administration,veterans-administration,92062.26
33,8,72,58,3041,5,10,108,15,105,138,15502,20028,Montecito Heights,montecito-heights,402890.5
23,0,57,51,582,7,93,5,3,85,108,4757,6022,Westlake Village,westlake-village,77368.08
614,32,1726,1498,77974,165,249,2792,50,2642,3256,82051,114708,El Monte,el-monte,10322521.04
1431,105,3887,3545,158271,155,1078,5911,393,6106,7537,76928,106317,Norwalk,norwalk,20952237.9
244,23,741,686,39435,45,63,1333,9,1206,1450,11644,16637,South El Monte,south-el-monte,5220728.22
142,26,357,274,12427,13,38,583,23,515,657,29152,39582,El Sereno,el-sereno,1645409.18
24,3,54,60,2835,3,32,60,22,93,117,9639,13054,Lake View Terrace,lake-view-terrace,375620.22
155,4,344,274,13252,15,121,447,39,467,622,56065,78893,Sylmar,sylmar,1754622.68
145,11,366,228,12389,29,293,264,19,460,605,41816,53856,Glendora,glendora,1640378.74
132,12,298,215,8568,22,153,266,84,393,525,28611,37254,Monrovia,monrovia,1134554.76
138,15,277,270,8987,120,252,163,27,424,562,155294,190790,Glendale,glendale,1190021.98
120,2,312,220,9101,2,28,432,72,414,534,53119,77868,Pacoima,pacoima,1205113.3
43,0,64,58,1093,12,70,21,19,79,122,35591,43648,Encino,encino,145014.26
2,0,15,7,40,5,15,2,0,20,22,9725,13147,San Marino,san-marino,5618.12
5,0,8,7,92,1,8,4,2,10,15,1676,2041,San Pasqual,san-pasqual,12501.88
71,1,134,98,3075,33,152,39,9,162,233,6339,9279,Stevenson Ranch,stevenson-ranch,407391.42
32,1,63,69,1429,2,36,72,23,101,133,23824,29466,Del Rey,del-rey,189493.94
610,47,1529,1127,51823,38,570,2053,42,2093,2703,63217,84878,Whittier,whittier,6860651.66
132,9,425,362,10612,33,529,132,102,664,796,32829,34407,West Hollywood,west-hollywood,1405139.48
27,1,84,58,2377,2,130,5,6,116,143,4879,6151,Topanga,topanga,314990.18
445,14,909,811,42260,45,184,1310,195,1289,1734,37459,54907,Wilmington,wilmington,5594701.72
51,0,114,97,4143,14,36,143,18,160,211,29875,37475,Echo Park,echo-park,548773.26
394,14,1070,916,49884,33,99,1804,64,1606,2000,16063,22390,West Puente Valley,west-puente-valley,6603966.84
59,11,128,134,5311,19,14,229,11,214,273,19379,26605,Lincoln Heights,lincoln-heights,703393.1
2,0,13,15,520,4,1,23,0,26,28,5299,6889,Elysian Valley,elysian-valley,69160.52
336,19,1057,788,26706,74,708,1039,43,1528,1864,38281,48527,La Mirada,la-mirada,3535663.2
179,16,558,646,24500,5,14,1187,14,1041,1220,18470,27395,Maywood,maywood,3243632.92
142,12,301,328,18532,15,111,403,112,499,641,8925,12014,Mayflower Village,mayflower-village,2453589.08
11,1,36,27,1136,3,34,18,9,53,64,20099,24039,Valley Village,valley-village,150706.6
223,9,407,567,33374,5,324,468,186,760,983,5572,8052,Sun Village,sun-village,4418373.04
404,23,992,751,41370,50,335,755,626,1362,1766,112997,140137,Pasadena,pasadena,5476883.52
50,0,126,104,3284,20,81,89,40,180,230,49182,61310,Northridge,northridge,435058.84
395,14,1088,741,34594,87,172,1544,40,1448,1843,16800,23506,Valinda,valinda,4579876.64
25,0,45,48,1223,8,71,7,7,68,93,8301,8866,Marina del Rey,marina-del-rey,162223.66
18,3,35,52,2452,13,17,35,25,72,90,8435,11077,Signal Hill,signal-hill,324918.68
27,0,44,44,1679,7,6,69,6,61,88,6379,8876,Cypress Park,cypress-park,222588.94
30,2,58,43,1909,4,45,44,10,73,103,28544,34925,Mar Vista,mar-vista,253036.34
65,4,229,155,6791,15,226,82,65,323,388,77156,89736,Santa Monica,santa-monica,899315.5
18,2,36,22,599,12,36,6,6,42,60,47622,51485,Westwood,westwood,79618.54
23,1,72,45,831,11,45,40,22,95,118,30332,37361,Claremont,claremont,110330.7
